id,name,years,genre,nationality,bio,wikipedia,paintings
25,Caravaggio,1571 - 1610,Baroque,Italian,"Michelangelo Merisi (Michele Angelo Merigi or Amerighi) da Caravaggio (, US: , Italian pronunciation...",http://en.wikipedia.org/wiki/Caravaggio,55
26,Leonardo da Vinci,1452 - 1519,High Renaissance,Italian,Leonardo di ser Piero da Vinci (Italian: [leo?nardo di ?s?r ?pj??ro da (v)?vint?i] (listen); 15 Apri...,http://en.wikipedia.org/wiki/Leonardo_da_Vinci,143
27,Diego Velazquez,1599 - 1660,Baroque,Spanish,"Diego Rodr?guez de Silva y Vel?zquez (Spanish: [?dje?o ?e?la?ke?]; baptized June 6, 1599 – August 6,...",http://en.wikipedia.org/wiki/Diego_Vel?zquez,128
28,Henri Matisse,1869 - 1954,"Impressionism,Post-Impressionism",French,Henri ?mile Benoît Matisse (French: [???i emil b?nw? matis]; 31 December 1869 – 3 November 1954) was...,http://en.wikipedia.org/wiki/Henri_Matisse,186
29,Jan van Eyck,1395 - 1441,Northern Renaissance,Flemish,Jan van Eyck (Dutch: [?j?n v?n ??ik]) (before c. 1390 – 9 July 1441) was an Early Netherlandish pain...,http://en.wikipedia.org/wiki/Jan_van_Eyck,81
30,Edgar Degas,1834 - 1917,Impressionism,French,"Edgar Degas (US: or UK: ; born Hilaire-Germain-Edgar De Gas, French: [il??? ???m?? ?d?a? d? ??]; 19...",http://en.wikipedia.org/wiki/Edgar_Degas,702
31,Rembrandt,1606 - 1669,Baroque,Dutch,"Rembrandt Harmenszoon van Rijn (; Dutch: [?r?mbr?nt ???rm?(n)so?n v?n ?r?in] (listen); July 15, 1606...",http://en.wikipedia.org/wiki/Rembrandt,262
32,Titian,1488 - 1576,"High Renaissance,Mannerism",Italian,Tiziano Vecelli or Tiziano Vecellio (pronounced [tit?tsja?no ve?t??lljo]; c. 1488/1490 – 27 August 1...,http://en.wikipedia.org/wiki/Titian,255
33,Henri de Toulouse-Lautrec,1864 – 1901,Post-Impressionism,French,"Henri Marie Raymond de Toulouse-Lautrec-Monfa (24 November 1864 – 9 September 1901), also known as H...",https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec,81
34,Gustave Courbet,1819 - 1877,Realism,French,Jean Désiré Gustave Courbet (French: [?ystav ku?b?]; 10 June 1819 – 31 December 1877) was a French p...,https://en.wikipedia.org/wiki/Gustave_Courbet,59
35,Camille Pissarro,1830 - 1903,"Impressionism,Post-Impressionism",French,Camille Pissarro (French: [kamij pisa?o]; 10 July 1830 – 13 November 1903) was a Danish-French Impre...,https://en.wikipedia.org/wiki/Camille_Pissarro,91
36,William Turner,1775 - 1851,Romanticism,British,"Joseph Mallord William Turner (23 April 1775 – 19 December 1851), known as J. M. W. Turner and cont...",https://en.wikipedia.org/wiki/J._M._W._Turner,66
37,Edvard Munch,1863 - 1944,"Symbolism,Expressionism",Norwegian,Edvard Munch (; Norwegian: [??dv?? ?m??k] (listen); 12 December 1863 – 23 January 1944) was a Norweg...,https://en.wikipedia.org/wiki/Edvard_Munch,67
38,Paul Cezanne,1839 – 1906,Post-Impressionism,French,Paul Cézanne (US: or UK: ; French: [p?l sezan]; 19 January 1839 – 22 October 1906) was a French art...,https://en.wikipedia.org/wiki/Paul_Cézanne,47
39,Eugene Delacroix,1798 – 1863,Romanticism,French,Ferdinand Victor Eugène Delacroix (; French: [?.??n d?.la.k?wa]; 26 April 1798 – 13 August 1863) was...,https://en.wikipedia.org/wiki/Eugène_Delacroix,31
40,Henri Rousseau,1844 – 1910,Primitivism,French,"Henri Julien Félix Rousseau (French: [???i ?ylj?? feliks ?uso]; May 21, 1844 – September 2, 1910) wa...",https://en.wikipedia.org/wiki/Henri_Rousseau,70
41,Georges Seurat,1859 – 1891,Post-Impressionism,French,Georges-Pierre Seurat (French: [???? pj?? sœ?a]; 2 December 1859 – 29 March 1891) was a French post-...,https://en.wikipedia.org/wiki/Georges_Seurat,43
42,Paul Klee,1879 – 1940,"Expressionism,Abstractionism,Surrealism","German,Swiss",Paul Klee (German: [pa??l ?kle?]; 18 December 1879 – 29 June 1940) was a Swiss German artist. His hi...,https://en.wikipedia.org/wiki/Paul_Klee,188
43,Piet Mondrian,1872 – 1944,Neoplasticism,Dutch,"Pieter Cornelis Mondriaan, after 1906 Piet Mondrian (; Dutch: [?pit ?m?ndrija?n], later [?m?ndrij?n]...",https://en.wikipedia.org/wiki/Piet_Mondrian,84
44,Joan Miro,1893 – 1983,Surrealism,Spanish,Joan Mir? i Ferrà (; Catalan: [?u?am mi??o j f??ra]; 20 April 1893 – 25 December 1983) was a Spanish...,https://en.wikipedia.org/wiki/Joan_Mir?,102
45,Andy Warhol,1928 – 1987,Pop Art,American,"Andy Warhol (; born Andrew Warhola; August 6, 1928 – February 22, 1987) was an American artist, dire...",https://en.wikipedia.org/wiki/Andy_Warhol,181
46,Paul Gauguin,1848 – 1903,"Symbolism,Post-Impressionism",French,"Eugène Henri Paul Gauguin (UK: , US: ; French: [???n ???i p?l ?o???]; 7 June 1848 – 8 May 1903) was ...",http://en.wikipedia.org/wiki/Paul_Gauguin,311
47,Raphael,1483 – 1520,High Renaissance,Italian,"Raffaello Sanzio da Urbino (Italian: [raffa??llo ?santsjo da ur?bi?no]; March 28 or April 6, 1483 – ...",https://en.wikipedia.org/wiki/Raphael,109
48,Michelangelo,1475 – 1564,High Renaissance,Italian,Michelangelo di Lodovico Buonarroti Simoni or more commonly known by his first name Michelangelo (; ...,https://en.wikipedia.org/wiki/Michelangelo,49
49,Jackson Pollock,1912 – 1956,Abstract Expressionism,American,"Paul Jackson Pollock (; January 28, 1912 – August 11, 1956) was an American painter and a major figu...",http://en.wikipedia.org/wiki/Jackson_Pollock,24
